#,Date of incident,Area,Department,Equipment,Description of Breakdown/Case,Effected time (Minute),Impact on production,Action taken, RCA Status,Date of RCA,Link,Root Cause,CAPA,Responsible,Due date,Status of CAPA,Actual date,Remark,Remark of RCA team,RCA team required,Date of intimation
299,1-Apr-26,Pellet-1,Mechanical,BC-1,Belt torn out at middle portion(Approx 300mm),107,No,Belt patching work done at the torn out section,Done,19-May-26,rca report,A stone piece stuck in between belt and press roller,1. Belt patching done at the torn out section.,Mr. S.K. Muduli ,1-Apr-26,Done,,,"RCA REPORT reviewed and signed by Mr. S. K. Rama. link
ok",,
,,,,,,,,,,,,,"2. Regularly inspect and maintain
screening system to ensure effectiveness.", Mr. Raghu V.,"
 Continuous",Done,,,,,
301,6-Apr-26,BNFC,Mechanical,ROTARY SCREEN,ROTARY SCREEN FLUSHING LINE LEAKAGE ISSUE,76,Speed loss,REPLACE THE HOSE PIPE,Done,7-Apr-26,RCA REPORT,"Due to lack of standardization, improper specification guidelines, and inadequate verification during installation.","Corrective Action
Replace with correctly sized and matching nipples",Mr. Sunil Das,,Done,,,"RCA report reviewed and signed by Mr. S. K. Rama. Link
OK",,
,,,,,,,,,,,,,"Preventive Action
Develop and implement standard specifications for hose and fittings",,,,,,,,
302,13-Apr-26,Pellet-1,Mechanical,RF-3 Jam,RF-3 DISCHARGE CHUTE GOT JAMMED ,20,Stop,JAM CLEARED BY REMOVING DAMAGED POLYMER LINER FROM THE CHUTE,Done,19-May-26,RCA REPORT,Use of polymer lincr of lesser thickening & delay in timely replacement of worn out liner due to poor inspection,1. Face of the chute where material is falling is to be replaced with 20 mnn thick PU liner,Mr. S. K. Muduli,15-Aug-26,,,,"Discussion held with the team and rca report modified. Link
ok",,
,,,,,,,,,,,,,"2. Life of the PU lincr to be monitored &
compared with polymer liner",Mr. Uday Kumar Singh,Continuous,,,,,,
303,14-Apr-26,Pellet-2,Process,Balling Disc,Ball formation issue,,,Use jigging material to BENF. for grinding by less quantity which is suitable for good binding for ball formation,Done,,rca report,,,,,,,,"RCA report reviewed and signed by Mr. S. K. Rama. Link  
ok",Yes,20-Apr-26
304,4-Apr-26,Pellet-1,Mechanical,Pellet,Conveyor spillage reduction,,,"1.Blade replaced & to be done in regular interval
2.Skirt guard replced & to be done in regular interval
3.Modification of chute & proper observation
4.Suction pipe cleaning & hood modification with new bag filter (Higher capacity)",Done,,pellet-1 mech.jpeg,,,,,,,,"RCA report reviewed and signed by Mr. S. K. Rama. Link
ok",Yes,20-Apr-26
305,21-Apr-26,PGP,Process,PGP,Clinker formation,,,Change in coal source on trial basis_ Source Kulda mines to Garjanbahal mines,Done,,RCA PGP CLINKER.pdf,,,,,,,,"RCA report revised and signed by Mr. S. K. Rama, link 
ok",Yes,20-Apr-26
306,26-Apr-26,PGP,Mechanical,PGP-1,Grate movment restriction,"1,140",No,support and guide roller adjustment work,Done,28-Apr-26,RCA REPORT,"Due to jamming caused by oversized clinker,grate misalignment ocuured,resulting in support and guide roller one sided.",,,,,,,"RCA report revised and signed by Mr. S. K. Rama, link
ok",Yes,20-Apr-26
307,24-Apr-26,Pellet-2,Mechanical,PELLET-2,C1B SNUB PULLEY GOT DAMAGED,51,Speed loss,1) SNUB PULLEY REMOVED 2) NEW SNUB PULLEY WITH THICK DRUM FITMENT DONE,Done,21-4-26,RCA OF C 1B 21-4-26.pdf,,"DUE TO THIN PLATE OF DRUM , IT WAS NOT ABLE TO TAKE LOAD AND GOT CRACKED",,,,,,"RCA report revised and signed by Mr. S. K. Rama. Link 
ok",,
308,4-May-26,Pellet-1,Process,,Temperature is not sustainable at Kiln of Pellet 1,,Speed loss,Analising the cause by process team,Done,,RCA_for_Low_Production_Due_to_TG_Stripper_Cast_Plate_Lifting_During.xls,,,,,,,,,Yes,28-Apr-26
309,5-May-26,BNFC,Mechanical,CYCLONE,Cyclone tapping flushing line broken from the old clarify main header line ,110,Speed loss,PIPE LINE REPAIRED,Done,4-May-26,CYCLONE TAPPING FLUSHING LINE BROKEN.pdf,OLD AND CORRODED PIPE LINE,AWARENESS WAS PROVIDED TO THE WORKMEN TO PREVENT RECURRENCE OF SUCH INCIDENTS,Mr. Bijayasen Pradhan,COMPLETED,Done,,,"The RCA report has been reviewed, modified incorporating inputs from discussions with Mr. D. Jena, and duly signed by Mr. S. K. Rama. Link
ok",,
,,,,,,,,,,,,,CHECKLIST OF EQUIPMENT INSPECTION SHOULD BE FOLLOWED STRICTLY,Mr. Bijayasen Pradhan,COMPLETED,Done,,,,,
310,28-Apr-26,BNFC,Mechanical,SECONDARY BALL MIL LP PUMP,SECONDARY BALL MILL LOW PRESSURE PUMP PRESSURE DROP,85,Stop,STAINER CLEANING DONE,Done,14-May-26,rca report,Oil filter clogging,"Oil pump develops 4-5 bar.
Stand by oil pump auto starts at 3 bar.
Mill tripping set at 2-5 bar.
1. Alarm to be set at 3-5 bar.",Mr. Sidharta Mahapatra,20-May-26,,,,"rca report revised and signed by Mr. S. K. Rama. Link
ok",,
,,,,,,,,,,,,,Oil pump to be changed over to the stand by pump every fort night. Filter cleaning to be done at 3-5 bar. An SOP to be made above and followed.,Mr. Kaushal Singh,,,,,,,
311,28-Apr-26,BNFC,E & I,PRIMARY BALL MILL,PRIMARY BALL MILL TRIP IN HIGH STARTING CURRENT,190,Stop,Mill started after flushing for more than 45-50mins & with jog start starting current came down to normal range after bypass then started.,Done,15-May-26,RCA BNFC.pdf,"Ball mill stopped in loaded condition ,during starting it caused prolonged high starting current even after LRSS bypass. ",,,,,,,"rca report reviewed and signed by Mr. S. K. Rama. Link
ok",,
312,23-Apr-26,Pellet-1,Process,BE-1,EMERGENCY SWITH ACTIVATION,7,Stop,"1. Installing CCTV cameras in the area to identify such incidents in future. 
2.Restrict unauthorized access near emergency switches
3. Creating awareness among workers on working with emergency switches. ",Done,23-Apr-26,P1 RCA TG trip.pdf,Unintentional manual activation of Emergency Stop switch and lack of surveillance system,"Corrective Action-System reset, inspection completed, TG restarted safely",Raghu Viswanadhu,,,,,,,
,,,,,,,,,,,,,"
Preventive Action - 1. Installing CCTV cameras in the area to identify such incidents in future. 
",Raghu Viswanadhu,,,,,"RCA report reviewed and signed by Mr. S. K. Rama. Link 
ok",,
,,,,,,,,,,,,,2.Restrict unauthorized access near emergency switches,Raghu Viswanadhu,,,,,,,
,,,,,,,,,,,,,3. Creating awareness among workers on working with emergency switches.,Raghu Viswanadhu,,,,,,,
313,7-Apr-26,Pellet-1,Mechanical,TG,CHAIN 2 NOS COMB PLATE LOCKED WITH EACH OTHER,5,Stop,,Done,,rca report,2 NOS OF LOCKING CLEAT LOOSE,,Mr.Santosh Ku Muduli,,,,,"RCA report reviewed and signed by Mr. S. K. Rama. Link  
ok",,
314,27-Apr-26,Pellet-1,Mechanical,Balling Disc-3,STOP DUE TO SCRAPPER BEND AND TILES BROKEN,124,Speed loss,,Done,,rca report,STONE CONTAMINATED FEED WAS NOT PROPERLY BYPASSED,,Mr.Santosh Ku Muduli,,,,,"RCA report reviewed and signed by Mr. S. K. Rama. Link
ok",,
315,29-Apr-26,Pellet-1,Mechanical,Balling Disc-1,COUPLING BUSH REPLACEMENT,193,Speed loss,,Done,,rca report,LOSS OF WEIGH FEEDER RATE FEEDBACK TO DCS DUE TO INSTRUMANTATION FAILURE,,Mr.Santosh Ku Muduli,,,,,"RCA report reviewed and signed by Mr. S. K. Rama. Link 
ok",,
316,29-May-26,BNFC,Mechanical,HT BALL MILL,HT BALL MILL TRIP DUE TO LP PUMP PRESSURE DROP,190,Stop,"1.TEMPORARY LEAKAGE ARREST
2.120 LITRE OIL TOP UPIN TRUNION BEARING
3.SUCTION STRAINER AND FILTER CLEANING DONE",Done,30-May-26,HT BALL MILL TRIP DUE TO LOW PRESSURE PUMP PRESSURE DROP.pdf,DURING PROJECT STANDARD MS TUBE WAS USED INSTEAD OF SS TUBE AND ALSO WELDING WAS DONE INSTEAD OF TUBE CONNECTORS,"PREVENTIVE ACTION:
EXISTING TUBE TO REPLACE BY SS TUBE IN SHUT DOWN",MR. D. JENA,17-Jun-26,,,,"The RCA report has been reviewed, modified incorporating inputs from discussions with Mr. D. Jena, and duly signed by Mr. S. K. Rama. Link
ok",,
,,,,,,,,,,,,,INTRODUCE OF HP AND LP LINE TO DAILY CHECKLIST FOR REGULAR MONITORING,MR. D. JENA,17-Jun-26,,,,,,
317,7-May-26,Pellet-2,Mechanical,NPC-1,Belt got thin & Hole formed on belt,11,Speed loss,TEMPORARY PATCHING DONE ON SAME DAY,Done,7-May-26,NPC 1 RCA.pdf,HOT MATERIALFREQUENTLY COMES ON BELT,CA: TEMPORARY PATCHING DONE ON SAME DAY,,,,,,,,
,,,,,,,,,,,,, PA:WATER LINE TO BE STARTED AT NPC 1 BEFORE HOT MATERIAL DISCHARGE 2)COOLING FAN SHOULD BE AT HIGHER SIDE DURING KILN DISCHARGE & COOLER DISCHARGE JAM 3)KILN DISCHARGE CLEANING FREQUENCY TO BE INCREASED DURING ACCREATION DETERIORATION,,,,,,,,
318,10-May-26,Pellet-1,Mechanical,ESP-4,Dome seal leakage arresting work to be done,59,No,New dome seal replacement done,Done,4-Jun-26,ESP-4 DOME VALVE SEAL DAMAGE (new).pdf,"High wear rate due to operation at higher frequency, even with empty hoppers ",Seal pressure interlock to be ensured all the time,"Mr SK Muduli, Mr. Akash Mohanty",Continuous,Done,,,"The RCA report has been reviewed, modified incorporating inputs from discussions with Mr. Uday Kumar Singh, and duly signed by Mr. S. K. Rama. Link
ok",,
,,,,,,,,,,,,,Seal of good quality to be used,Mr Uday Kumar Singh,Continuous,Done,,,,,
,,,,,,,,,,,,,Interval service cycle operation to be increased from 11.5 min to 15 min,Mr Uday Kumar Singh,6-Jun-26,Done,,,,,
319,10-May-26,Pellet-1,Mechanical,Bento Conveying,Stop due to Unhealthy seal pressure,85,No,New dome seal replacement done,Done,12-May-26,RCA -Bento conveying  dome seal,Dome seal worn out due to aging,"CA: New dome seal replacement completed.
PA: Scheduled replacemetn plan for dome valve need to be implemented.
",Mr SK Muduli,10-May-26,Done,,,,,
320,13-May-26,Pellet-2,Process,FC-6,Tripped due to high current,41,No,Some material on the belt was removed manually and then it was restarted,Done,,RCA for FC-6 Conveyor Trip Due to Low Torque.xls,Inadequate motor and gearbox capacity to provide the required torque under peak conveyor loading conditions.,".1.Planned to increase gearbox ratio and increase belt speed. 
2.Planned to enhance motor capacity to prevent low initial torque trips.",Raghu Viswanadhu,,,,,,,
321,21-May-26,Pellet-1,Mechanical,TG,Arresting the spillage of TG from the stipper plate chute,46,Stop,Punctured chute patching work done.,Done,4-Jun-26,Material spillage from TG stipper plate chute (new).pdf,"The TG stipper plate bent due to poor material quality. Deformation caused the plate to lift from it's position, resulting in material spillage and subsequent puncture of the chute",Material to be checked,Mr Uday Kumar Singh,12-Jun-26,,,,"The RCA report has been reviewed, modified incorporating inputs from discussions with Mr. Uday Kumar Singh, and duly signed by Mr. S. K. Rama. Link
ok",,
,,,,,,,,,,,,,PH-2 zone temp to be maintained within 1100 degree celsius,Mr. Raghu V.,Continuous,Done,,,,,
,,,,,,,,,,,,,"TG stipper plates to be procured only from OEM, China as cost of failure being very high",Mr Uday Kumar Singh,4-Oct-26,,,,,,
322,3-May-26,Pellet-2,E & I,C-17,"C-17 Conveyor ZSS Problem problem occurred.
Due to dust accumulation this problem happened.
",15,Stop,"1. A protective canopy was installed over the ZSS sensor and controller to shield them from conveyor dust spillage, preventing dust accumulation and ensuring reliable sensor performance.
2. Also JH team were suggested to increase cleaning schedule.
",Done,5-May-26,RCA-LINK,"The C-17 Conveyor ZSS Problem occurred because dust spillage from the conveyor accumulated on the sensor sensing area, obstructing its ability to detect conveyor movement accurately. Investigation revealed that inadequate spillage control and insufficient housekeeping around the conveyor allowed dust to build up over time.
As a result, the sensor generated an incorrect signal, leading to the Problem. To prevent recurrence, dust-spillage control, regular housekeeping, sensor-area inspections, and protective shielding for the sensor be implemented.
","1. A protective canopy was installed over the ZSS sensor and controller to shield them from conveyor dust spillage, preventing dust accumulation and ensuring reliable sensor performance.
",Mr. Ashis Kumar Sahoo,,,,,,Yes,4-Jun-26
,,,,,,,,,,,,,2. Also JH team were suggested to increase cleaning schedule.,Mr. Ashis Kumar Sahoo,,,,,,,
323,20-May-26,Pellet-1,E & I,RF-4,"RF-4 Conveyor ZSS Problem problem occurred,Due to foreign material damaged the striker.
",5,Stop,"Protective canopy was installed covering both striker & sensor.

Striker strengthening work done.
",Done,22-May-26,RCA-LINK,"Probably some foreign material had hit the striker due to which it was broken.","Protective canopy was installed covering both striker & sensor. Striker strengthening work done.
",Mr. Chitta Ranjan Sahoo,,,,,,,
324,28-May-26,PGP,E & I,"PGP Breaker
","PGP Breaker / Tripped on Ground Fault
",25,Stop,"Replaced the damaged section of the power cable with proper high-voltage splicing/jointing kit, test insulation resistance (Megger), and reset the PGP breaker.
Power cable was rerouted from the route of duct line work to prevent any further hazard.
",Done,29-May-26,RCA-LINK,"he PGP Breaker damage occurred because a severe ground fault problem current rushed back into the system when the incoming power cable from Pellet-1 was punctured. 
Investigation revealed that CMT duct line laying work was executed directly over the cable route work.
","Replaced the damaged section of the power cable with proper high-voltage splicing/jointing kit, test insulation resistance (Megger), and reset the PGP breaker.
Power cable was rerouted from the route of duct line work to prevent any further hazard.
","Mr. Ashis Kumar Sahoo",,,,,,,
